Presupuesto 2026 — Resumen Mensual,,,,,,,,,,,,,,
Cifras en millones de pesos (MXN),,,,,,,,,,,,,,
Todas las compañías,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total Año
Caja Inicial,376.4,210.9,164.8,164.0,36.0,173.2,274.0,342.8,525.1,772.8,990.6,846.3,376.4
INGRESOS,,,,,,,,,,,,,,
Ingresos Totales,290.7,253.5,343.3,288.5,325.4,380.8,324.6,415.1,344.4,329.9,420.5,365.4,"4,082"
EGRESOS,,,,,,,,,,,,,,
Nómina,82.3,80.1,94.4,77.0,86.0,89.5,77.2,95.9,72.1,77.2,95.9,111.2,"1,039"
Finiquitos,6.7,5.5,7.2,4.6,3.7,3.7,3.0,3.5,2.8,2.8,3.5,2.8,49.8
Diésel,59.9,49.4,66.8,58.3,64.7,80.9,64.7,80.9,64.7,64.7,80.9,64.7,800.6
Gas,3.4,6.4,5.9,5.8,5.2,6.5,5.2,6.5,5.2,5.2,6.5,5.2,67.0
Lubricantes y Otros,5.4,2.1,1.8,3.8,5.1,6.4,5.1,6.4,5.1,5.1,6.4,5.1,57.8
Impuestos,50.7,14.8,25.3,27.3,62.5,27.5,51.5,14.5,51.5,14.5,51.5,154.5,546.1
Gastos de Operación,47.2,57.8,78.1,43.5,61.4,67.5,60.9,92.0,59.4,59.9,91.5,59.9,779.1
CAPEX,-,-,-,-,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Pasivos Financieros,41.5,98.5,51.9,98.2,45.6,51.7,93.3,58.6,28.8,92.4,62.3,26.0,748.8
TOTALES,,,,,,,,,,,,,,
Total Egresos,297.1,314.6,331.4,318.5,334.4,333.9,361.1,358.5,289.8,322.0,398.7,429.6,"4,090"
Flujo Neto del Mes,(6.4),(61.1),11.9,(30.0),(9.0),46.9,(36.5),56.6,54.6,7.9,21.8,(64.2),(7.5)
Caja Final,370.0,308.9,320.8,290.8,281.8,328.7,292.2,348.8,403.4,411.3,433.1,368.9,368.9
