Presupuesto 2026 — Resumen Mensual,,,,,,,,,,,,,,
Cifras en millones de pesos (MXN),,,,,,,,,,,,,,
Todas las compañías — necesidad de flujo Mayo 2026 04.05.26,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total Año
Caja Inicial,76.315,84.356,36.979,53.151,41.009,18.451,73.357,4.94,16.237,64.173,12.713,14.464,76.315
INGRESOS,,,,,,,,,,,,,,
Ingresos Totales,290.659,253.481,343.3,282.152,349.543,380.805,324.595,329.042,430.381,329.924,329.248,456.617,"4,099.746"
EGRESOS,,,,,,,,,,,,,,
Nómina,82.338,80.089,94.352,78.144,85.994,89.474,77.202,77.202,90.776,77.202,77.322,139.745,"1,049.84"
Finiquitos,6.725,5.538,7.24,5.125,4.256,4.686,3.896,3.492,4.051,3.492,3.351,4.078,55.931
Diésel,51.048,40.937,59.151,52.114,60.4,68,54.4,54.4,68,54.4,54.4,68,685.25
Gas,3.439,6.374,5.872,4.268,5.188,6.485,5.188,5.188,6.485,5.188,5.188,6.485,65.349
Lubricantes y Otros,5.442,2.054,1.812,1.45,5.12,6.4,5.12,5.12,6.4,5.12,5.12,6.4,55.558
Impuestos,50.691,14.822,25.322,27.361,62.5,27.5,81.5,54.5,81.5,74.5,61.5,54.5,616.196
Gastos de Operación,47.16,57.838,78.103,27.574,88.763,67.83,64.852,73.844,74.47,61.7,73.178,76.503,791.816
CAPEX,-,-,-,-,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Gastos Asesores: CM y fiscal,2.926,3.125,2.963,0.041,9.08,1.16,1.1,1.1,1.1,1.1,1.1,1.1,25.895
Proyectos,0.524,0.521,0.687,0.128,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,2.853
Plan de Pago,1.332,1.077,1.599,0.042,2.103,2.356,2.122,2.14,2.41,1.94,1.84,2.56,21.521
Pasivos Financieros,41.533,98.458,51.928,98.046,48.373,51.683,97.308,40.435,46.929,96.418,44.173,44.173,759.458
Ajuste reservas y financiamiento,(10.54),(9.977),(1.9),-,-,-,-,-,-,-,-,-,(22.417)
TOTALES,,,,,,,,,,,,,,
Total Egresos,282.619,300.858,327.128,294.294,372.102,325.898,393.012,317.746,382.445,381.384,327.496,403.868,"4,108.849"
Flujo Neto del Mes,8.041,(47.377),16.172,(12.142),(22.558),54.906,(68.417),11.297,47.936,(51.46),1.751,52.749,(9.102)
Caja Final,84.356,36.979,53.151,41.009,18.451,73.357,4.94,16.237,64.173,12.713,14.464,67.213,67.213
